	true_y	pred_y
149	1,0	False
150	1,0	True
151	1,0	False
152	1,0	False
153	0,0	True
154	1,0	True
155	1,0	True
156	0,0	True
157	1,0	True
158	1,0	False
159	0,0	True
160	1,0	False
161	1,0	True
162	0,0	False
163	0,0	True
164	0,0	True
165	0,0	True
166	1,0	True
167	0,0	True
168	0,0	True
169	0,0	True
170	1,0	False
171	1,0	True
172	1,0	True
173	0,0	True
174	0,0	True
175	1,0	True
176	0,0	True
177	1,0	True
178	1,0	True
179	1,0	False
180	1,0	True
181	1,0	False
182	1,0	True
183	1,0	False
184	1,0	False
185	1,0	False
186	1,0	False
187	0,0	False
188	1,0	True
189	0,0	True
190	0,0	True
191	0,0	True
192	1,0	True
193	1,0	False
194	1,0	True
195	0,0	True
196	0,0	True
197	0,0	True
198	0,0	True
199	0,0	True
200	1,0	False
201	1,0	True
202	0,0	False
203	1,0	True
204	0,0	False
205	1,0	True
206	1,0	True
207	1,0	True
208	1,0	True
209	1,0	False
210	1,0	True
211	1,0	False
212	0,0	True
213	1,0	True
214	1,0	True
215	1,0	True
216	0,0	True
217	0,0	False
218	0,0	True
219	1,0	True
220	0,0	False
221	1,0	True
222	0,0	False
223	1,0	True
224	1,0	False
225	1,0	True
226	1,0	True
227	1,0	True
228	1,0	True
229	1,0	True
230	1,0	True
231	0,0	False
232	1,0	True
233	1,0	False
234	0,0	False
235	1,0	True
236	1,0	True
237	0,0	True
238	0,0	False
239	0,0	False
240	1,0	True
241	0,0	True
242	1,0	True
243	1,0	True
244	0,0	True
245	1,0	True
246	0,0	True
247	1,0	True
248	0,0	False
249	1,0	True
250	1,0	False
251	1,0	True
252	1,0	True
253	0,0	False
254	1,0	True
255	1,0	False
256	0,0	False
257	1,0	True
258	1,0	True
259	0,0	True
260	1,0	True
261	1,0	False
262	0,0	False
263	0,0	True
264	0,0	True
265	0,0	False
266	1,0	True
267	0,0	False
268	0,0	False
269	0,0	True
270	1,0	False
271	1,0	True
272	1,0	False
273	0,0	True
274	0,0	True
275	1,0	True
276	0,0	True
277	1,0	True
278	1,0	True
279	1,0	True
280	1,0	True
281	1,0	True
282	1,0	True
283	1,0	True
284	1,0	True
285	1,0	True
286	1,0	True
287	0,0	False
288	1,0	True
289	0,0	False
290	0,0	False
291	0,0	False
292	1,0	True
293	1,0	True
294	1,0	True
295	0,0	False
296	0,0	False
297	0,0	False
298	0,0	True
299	0,0	False
300	1,0	False
301	1,0	True
302	0,0	True
303	1,0	True
304	0,0	True
305	1,0	False
306	1,0	True
307	1,0	False
308	1,0	True
309	1,0	True
310	1,0	True
311	1,0	False
312	0,0	True
313	1,0	True
314	1,0	False
315	1,0	True
316	0,0	True
317	0,0	False
318	0,0	True
319	1,0	False
320	0,0	True
321	1,0	True
322	0,0	True
323	1,0	True
324	1,0	True
325	1,0	True
326	1,0	False
327	1,0	True
328	1,0	True
329	1,0	True
330	1,0	True
331	0,0	False
332	1,0	True
333	1,0	False
334	0,0	False
335	1,0	True
336	1,0	True
337	0,0	False
338	0,0	True
339	0,0	True
340	1,0	True
341	0,0	True
342	1,0	True
343	1,0	False
344	0,0	True
345	1,0	True
346	0,0	True
347	1,0	True
348	0,0	True
349	1,0	True
350	1,0	False
351	1,0	True
352	1,0	True
353	0,0	True
354	1,0	True
355	1,0	False
356	0,0	True
357	1,0	False
358	1,0	True
359	0,0	True
360	1,0	True
361	1,0	False
362	0,0	True
363	0,0	True
364	0,0	False
365	0,0	False
366	1,0	True
367	0,0	True
368	0,0	True
369	0,0	False
370	1,0	True
371	1,0	True
372	1,0	True
373	0,0	True
374	0,0	False
375	1,0	False
376	0,0	True
377	1,0	True
378	1,0	True
379	1,0	True
380	1,0	True
381	1,0	True
382	1,0	False
383	1,0	True
384	1,0	True
385	1,0	False
386	1,0	True
387	0,0	True
388	1,0	True
389	0,0	True
390	0,0	False
391	0,0	True
392	1,0	True
393	1,0	True
394	1,0	True
395	0,0	False
396	0,0	True
397	0,0	False
398	0,0	True
399	0,0	False
