numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
2,0	0,9254194583737902	2,0	0,13603314638522945	0,26939563961551616	0,29880981340622137	0	1	1
3,0	0,27510620298086075	1,0	0,0735415880568353	0,024095395120763974	0,8581729857854701	0	1	1
3,0	0,6572751181705188	5,0	0,9415451603266836	0,31909188616560014	0,1949682448583412	0	0	0
1,0	0,23691020975814803	4,0	0,5665380064031069	0,9928820657913527	0,13934671407613142	0	1	0
3,0	0,4244673729521705	6,0	0,2683427048389687	0,9457071478049347	0,4861468343523726	0	1	0
6,0	0,050449295030550734	1,0	0,470571316267525	0,23633672146372642	0,2474552399245965	0	1	0
6,0	0,4715774562089837	1,0	0,11070196969620638	0,2697302099520802	0,147003781974421	0	1	1
5,0	0,5918051960696543	3,0	0,5500831373635298	0,9264688253911767	0,46214972415988986	0	1	1
5,0	0,5089022525532995	3,0	0,23094931656396356	0,23904893378187408	0,39031198584998994	0	1	1
3,0	0,7418960137644145	5,0	0,7218770296697644	0,11529112979092804	0,9644721879642443	0	0	0
4,0	0,3672170969562242	6,0	0,3754106589322106	0,543679886195748	0,011284512176616968	0	0	0
1,0	0,44865686986479414	2,0	0,028562845125088443	0,13925183601956515	0,4579582630949699	0	0	1
4,0	0,26655494712953387	2,0	0,17832514505638475	0,41143670968969925	0,9841251455309752	0	1	1
3,0	0,4232551143061516	3,0	0,9288156238829979	0,6865661260029491	0,9105229479970791	0	1	0
4,0	0,6199274124330971	6,0	0,0032699882385932577	0,44189777359319815	0,0045757553762709735	0	1	1
5,0	0,06181297826399845	6,0	0,9856715497973818	0,03974087298760798	0,6507831362817256	0	0	0
3,0	0,4854056963494747	1,0	0,15490659279729846	0,11202173583304187	0,42836800774451544	0	1	1
4,0	0,26309170424634354	5,0	0,14392475077855005	0,7585497112305261	0,19348854121723125	0	1	1
2,0	0,6177220732276646	1,0	0,9416265226853633	0,6416601053145476	0,8397999193695779	0	1	1
1,0	0,648451177846649	2,0	0,13013460639751362	0,41169521883743965	0,49197527484337933	0	0	1
6,0	0,37754978544072193	3,0	0,7839008627061199	0,8834611787349229	0,9948969849188251	0	1	0
3,0	0,15709427383091057	6,0	0,32874392801008967	0,3253582601516737	0,9902302794939335	0	0	0
5,0	0,013924288111102356	2,0	0,21141264768798518	0,416161244998534	0,3315745429762309	0	1	0
6,0	0,2323372366593014	3,0	0,09883658296027875	0,3971149394495026	0,5349525805008901	0	1	1
6,0	0,6369973419965583	2,0	0,10671267422090203	0,39433472363583644	0,22962945222859898	0	1	1
6,0	0,2880349932500267	4,0	0,607087277845225	0,5085347445780599	0,7479277800350997	0	1	0
1,0	0,424758766233875	1,0	0,1863082788698024	0,9177257540829306	0,12858820023546758	0	1	1
1,0	0,26130029375354036	5,0	0,6322310079175641	0,021660491538031956	0,4956991715247717	0	0	0
4,0	0,9451373610278826	4,0	0,06044969497112562	0,4772880788219579	0,42087161127793005	0	1	1
6,0	0,9271908007470857	6,0	0,8777019439630874	0,5520857227521483	0,5756260342828377	0	1	1
2,0	0,24940970869632884	6,0	0,49661138916098	0,9085710323808068	0,26334371811948687	0	1	0
2,0	0,2441923540734584	4,0	0,6316614692682533	0,2899181904340855	0,5820262625469842	0	0	0
2,0	0,46932303055800995	2,0	0,19373189060353513	0,33057456201852686	0,16633197327465998	0	1	1
1,0	0,2554927104932636	1,0	0,3856719731720446	0,31513603070890794	0,6917176945578584	0	0	0
2,0	0,8660450784377087	4,0	0,7010405182424672	0,317922453170563	0,22641615438627372	0	0	0
6,0	0,5581633917956849	2,0	0,9627310835381127	0,9844270925236464	0,13799500637814965	0	1	1
3,0	0,22974917749047352	2,0	0,4911675699201139	0,40379839313080024	0,6147696113252832	0	0	0
5,0	0,8306345736674069	2,0	0,20987202904713853	0,5357051940469827	0,7721745082881029	0	1	1
6,0	0,13570527234178242	2,0	0,8961551583719045	0,04791803426011365	0,4010543858283765	0	0	0
