	individual	fp	fn	tp	tn
44	<Individual.Individual object at 0x320944910>	39	5	52	4
45	<Individual.Individual object at 0x320771490>	19	15	42	24
46	<Individual.Individual object at 0x32074d040>	33	20	37	10
47	<Individual.Individual object at 0x30fcc4b80>	41	3	54	2
48	<Individual.Individual object at 0x318c5f6d0>	19	16	41	24
49	<Individual.Individual object at 0x318c76f40>	21	6	51	22
50	<Individual.Individual object at 0x31e75bdc0>	31	18	39	12
51	<Individual.Individual object at 0x31e77dfa0>	13	14	43	30
52	<Individual.Individual object at 0x31e321490>	29	9	48	14
53	<Individual.Individual object at 0x31e332040>	29	21	36	14
54	<Individual.Individual object at 0x320ad2b80>	31	26	31	12
55	<Individual.Individual object at 0x31e2e76d0>	10	8	49	33
56	<Individual.Individual object at 0x31e2faf40>	40	20	37	3
57	<Individual.Individual object at 0x321016310>	17	14	43	26
58	<Individual.Individual object at 0x321012910>	36	16	41	7
59	<Individual.Individual object at 0x31e7a6490>	18	5	52	25
60	<Individual.Individual object at 0x31e79b040>	21	18	39	22
61	<Individual.Individual object at 0x318efbb80>	38	4	53	5
62	<Individual.Individual object at 0x3207376d0>	20	20	37	23
63	<Individual.Individual object at 0x32073ff40>	26	0	57	17
64	<Individual.Individual object at 0x3209f2dc0>	19	7	50	24
65	<Individual.Individual object at 0x3209d0910>	33	6	51	10
66	<Individual.Individual object at 0x31eb79490>	17	8	49	26
67	<Individual.Individual object at 0x318c90af0>	14	5	52	29
68	<Individual.Individual object at 0x318caab80>	31	25	32	12
69	<Individual.Individual object at 0x320c2a490>	15	8	49	28
70	<Individual.Individual object at 0x320c2cf40>	14	8	49	29
71	<Individual.Individual object at 0x320929dc0>	25	23	34	18
72	<Individual.Individual object at 0x320919910>	21	19	38	22
73	<Individual.Individual object at 0x30fa4e490>	25	17	40	18
74	<Individual.Individual object at 0x30fa47040>	26	18	39	17
75	<Individual.Individual object at 0x320e7ab80>	34	22	35	9
76	<Individual.Individual object at 0x320a4f6d0>	33	23	34	10
77	<Individual.Individual object at 0x320a6bf40>	14	8	49	29
78	<Individual.Individual object at 0x320569dc0>	34	14	43	9
79	<Individual.Individual object at 0x320553910>	27	13	44	16
80	<Individual.Individual object at 0x30fdf9490>	15	5	52	28
81	<Individual.Individual object at 0x30fddb040>	14	10	47	29
82	<Individual.Individual object at 0x3198deb80>	18	15	42	25
83	<Individual.Individual object at 0x31efeb6d0>	32	15	42	11
84	<Individual.Individual object at 0x31efeef40>	25	13	44	18
85	<Individual.Individual object at 0x320ab5dc0>	36	32	25	7
86	<Individual.Individual object at 0x320abfa00>	14	9	48	29
87	<Individual.Individual object at 0x3203ec490>	43	12	45	0
88	<Individual.Individual object at 0x3203db040>	24	20	37	19
89	<Individual.Individual object at 0x31ed1cb80>	32	12	45	11
90	<Individual.Individual object at 0x31e2bf6d0>	29	19	38	14
91	<Individual.Individual object at 0x31e2bbf40>	23	17	40	20
92	<Individual.Individual object at 0x320509dc0>	19	12	45	24
93	<Individual.Individual object at 0x320505910>	22	3	54	21
94	<Individual.Individual object at 0x320ef5490>	33	11	46	10
95	<Individual.Individual object at 0x320ee3040>	38	20	37	5
96	<Individual.Individual object at 0x318e8cb80>	14	9	48	29
97	<Individual.Individual object at 0x320584f70>	15	13	44	28
98	<Individual.Individual object at 0x32059a0a0>	25	5	52	18
99	<Individual.Individual object at 0x30f6b2dc0>	36	14	43	7
