	individual	fp	fn	tp	tn
54	<Individual.Individual object at 0x34f3b1370>	23	20	39	18
55	<Individual.Individual object at 0x34a6cf7f0>	33	9	50	8
56	<Individual.Individual object at 0x34a6d3a30>	33	2	57	8
57	<Individual.Individual object at 0x34c127e20>	37	3	56	4
58	<Individual.Individual object at 0x34ec1ce20>	37	9	50	4
59	<Individual.Individual object at 0x34ec26ca0>	32	9	50	9
60	<Individual.Individual object at 0x349a937f0>	29	4	55	12
61	<Individual.Individual object at 0x34a666370>	21	11	48	20
62	<Individual.Individual object at 0x34a650ee0>	18	8	51	23
63	<Individual.Individual object at 0x322a52a30>	35	4	55	6
64	<Individual.Individual object at 0x36fadb5b0>	24	7	52	17
65	<Individual.Individual object at 0x36fac7e20>	36	6	53	5
66	<Individual.Individual object at 0x34b338ca0>	24	9	50	17
67	<Individual.Individual object at 0x34ae857f0>	36	6	53	5
68	<Individual.Individual object at 0x34a71e370>	16	18	41	25
69	<Individual.Individual object at 0x34a705ee0>	29	18	41	12
70	<Individual.Individual object at 0x34b3c2a30>	25	2	57	16
71	<Individual.Individual object at 0x16b6c75b0>	19	4	55	22
72	<Individual.Individual object at 0x16b6cfe20>	26	9	50	15
73	<Individual.Individual object at 0x34b379ca0>	29	14	45	12
74	<Individual.Individual object at 0x34a583d30>	22	15	44	19
75	<Individual.Individual object at 0x34a582370>	13	13	46	28
76	<Individual.Individual object at 0x352a80130>	22	19	40	19
77	<Individual.Individual object at 0x352abfa30>	21	7	52	20
78	<Individual.Individual object at 0x34a9c95b0>	25	3	56	16
79	<Individual.Individual object at 0x34ec44ee0>	37	2	57	4
80	<Individual.Individual object at 0x34ec53ca0>	16	10	49	25
81	<Individual.Individual object at 0x16b710e20>	24	2	57	17
82	<Individual.Individual object at 0x324501370>	22	22	37	19
83	<Individual.Individual object at 0x3244d7ee0>	16	16	43	25
84	<Individual.Individual object at 0x3518b7430>	33	14	45	8
85	<Individual.Individual object at 0x34a428fd0>	26	7	52	15
86	<Individual.Individual object at 0x34a5030d0>	28	14	45	13
87	<Individual.Individual object at 0x34b62e1f0>	33	5	54	8
88	<Individual.Individual object at 0x34a446df0>	23	19	40	18
89	<Individual.Individual object at 0x3505a07c0>	27	16	43	14
90	<Individual.Individual object at 0x351ff1250>	26	17	42	15
91	<Individual.Individual object at 0x3520fe400>	39	12	47	2
92	<Individual.Individual object at 0x34a5d1eb0>	36	4	55	5
93	<Individual.Individual object at 0x34b2e4ee0>	17	17	42	24
94	<Individual.Individual object at 0x34b2d6520>	33	9	50	8
95	<Individual.Individual object at 0x34b2cb910>	26	11	48	15
96	<Individual.Individual object at 0x34d470640>	39	12	47	2
97	<Individual.Individual object at 0x349f12370>	28	12	47	13
98	<Individual.Individual object at 0x349f23d90>	28	15	44	13
99	<Individual.Individual object at 0x3249aedc0>	27	14	45	14
