numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
6,0	0,23938643567897455	1,0	0,25366938154036334	0,808587548990763	0,03007249746011531	0,25	1	0
3,0	0,8614833360695777	4,0	0,264937727249144	0,8867834180709064	0,8431842901390084	0,25	1	0
5,0	0,5542782769719216	1,0	0,6414609810981388	0,515312750856299	0,21785346480538947	0,25	1	0
2,0	0,2542830521699515	5,0	0,3992488421365503	0,5862238149135504	0,3614201890739923	0,25	0	0
3,0	0,18946706706936	2,0	0,8734530424847371	0,9127280562289349	0,7488858620737059	0,25	1	0
2,0	0,4520887992385806	6,0	0,6782842885101547	0,923518008234256	0,08190909390307388	0,25	1	0
4,0	0,15384907652663438	3,0	0,8587815210046892	0,2956014169685286	0,13821169552231383	0,25	0	0
4,0	0,2941634103728916	4,0	0,5137896712036535	0,6657451684831434	0,5946069031341448	0,25	1	0
4,0	0,48189341355324466	5,0	0,9782113701859109	0,6548644080174015	0,22443029039659168	0,25	1	0
6,0	0,9953350679068425	3,0	0,9830243530813333	0,9827442368508222	0,2053612195140937	0,25	1	0
1,0	0,6352525072993019	6,0	0,7273210449412658	0,28501736077144413	0,22197774770756729	0,25	0	0
6,0	0,16293695078282266	3,0	0,24816824410631488	0,2599504972730975	0,4813711529350768	0,25	1	0
2,0	0,05480964285798284	2,0	0,7265024697900081	0,36129962726035714	0,3462271803119875	0,25	0	0
2,0	0,789433290086453	2,0	0,9846816805506683	0,7017907030181064	0,007325834258471775	0,25	1	0
5,0	0,47155827400781725	4,0	0,09595827476096119	0,9733103560158209	0,5978662886506562	0,25	1	0
5,0	0,011470992792075752	2,0	0,06673503589843988	0,17829690269040455	0,4006022544949077	0,25	0	0
5,0	0,07428503841733125	5,0	0,628931050494371	0,42586676167699644	0,36631259841678376	0,25	0	0
4,0	0,9586333426791012	1,0	0,9214254089732573	0,20466820822963294	0,2802297495290419	0,25	1	0
2,0	0,030000955961341003	1,0	0,1722154789701883	0,8731854536117795	0,08001175195349508	0,25	1	0
1,0	0,11200028991415323	5,0	0,20229559652779827	0,5468322198605948	0,7635056028493039	0,25	0	0
